

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
454.110  000.261  000.261: sourcing /Users/nissassin17/.vim/bundle/ack.vim/plugin/ack.vim
458.318  000.699  000.699: sourcing /Users/nissassin17/.vim/bundle/nerdtree/autoload/nerdtree.vim
461.280  001.241  001.241: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/path.vim
462.379  000.625  000.625: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
462.941  000.165  000.165: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim
464.074  000.656  000.656: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/key_map.vim
465.636  001.011  001.011: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/bookmark.vim
467.026  000.813  000.813: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
468.707  001.146  001.146: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
469.966  000.760  000.760: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/opener.vim
471.239  000.753  000.753: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/creator.vim
471.832  000.128  000.128: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/flag_set.vim
472.691  000.464  000.464: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
474.232  001.058  001.058: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/ui.vim
474.788  000.093  000.093: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/event.vim
475.344  000.119  000.119: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/notifier.vim
477.199  001.267  001.267: sourcing /Users/nissassin17/.vim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
500.144  000.302  000.302: sourcing /Users/nissassin17/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
502.239  001.671  001.671: sourcing /Users/nissassin17/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
506.392  002.283  002.283: sourcing /Users/nissassin17/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
508.706  000.036  000.036: sourcing /Users/nissassin17/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
508.824  000.027  000.027: sourcing /Users/nissassin17/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
510.630  001.175  001.175: sourcing /Users/nissassin17/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
515.636  060.948  044.456: sourcing /Users/nissassin17/.vim/bundle/nerdtree/plugin/NERD_tree.vim
519.101  001.938  001.938: sourcing /Users/nissassin17/.vim/bundle/vim-surround/plugin/surround.vim
521.866  001.203  001.203: sourcing /Users/nissassin17/.vim/bundle/conflict-marker.vim/plugin/conflict_marker.vim
526.762  001.199  001.199: sourcing /Users/nissassin17/.vim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
